id;purchased;is_female;cust_membership;age;income;marketing;population;cnt_purch;frq_purch;mfrq_shop;basket_mval;frq_purch_chemia;frq_purch_newsstand;frq_purch_meat;frq_purch_frozen;frq_purch_dairy;frq_purch_beverages;frq_purch_bakery;frq_purch_household_goods;frq_purch_vegs_and_fruits;prc_purch_nrst_shop;mdist_to_shop
006OFcLrK4tK;FALSE;TRUE;252;46;4053;no;64513;10;0.0396825396825397;0.7;35.689;0.6;0.3;0.3;0.4;0.4;0.3;0.6;1.1;0.7;0.1;92273.3272552583
00g62PLV8cWg;FALSE;FALSE;954;48;4488;no;101343;51;0.0534591194968553;0.627450980392157;42.3794117647059;0.549019607843137;0.294117647058824;0.274509803921569;0.509803921568627;0.470588235294118;0.411764705882353;0.294117647058824;0.372549019607843;0.352941176470588;0.0196078431372549;134554.807583979
00l351ify1Vu;FALSE;FALSE;729;40;3919;yes;93206;13;0.0178326474622771;0.615384615384615;37.2261538461538;0.0769230769230769;0.615384615384615;0.230769230769231;0.461538461538462;0.461538461538462;0.307692307692308;0.538461538461538;0.538461538461538;0.461538461538462;0.0769230769230769;221728.20940497
01hRnGMv9zio;TRUE;FALSE;947;41;4010;no;1735442;64;0.0675818373812038;0.90625;56.03671875;0.484375;0.15625;0.75;0.96875;0.25;0.25;0.140625;0.8125;0.6875;0.90625;20211.8212160448
022r6oGswAZO;FALSE;FALSE;805;37;5073;yes;4308;38;0.0472049689440994;0.578947368421053;39.7247368421053;0.473684210526316;0.315789473684211;0.289473684210526;0.421052631578947;0.368421052631579;0.447368421052632;0.447368421052632;0.315789473684211;0.421052631578947;0.0263157894736842;189864.93464791
049l4ErTYaPD;FALSE;FALSE;821;37;3389;yes;545680;55;0.0669914738124239;0.672727272727273;38.7045454545455;0.381818181818182;0.436363636363636;0.472727272727273;0.509090909090909;0.436363636363636;0.218181818181818;0.363636363636364;0.327272727272727;0.309090909090909;0.0181818181818182;110786.227849902
04Z7qCcraU7Y;FALSE;TRUE;755;41;4178;yes;185123;15;0.0198675496688742;0.8;41.1466666666667;0.266666666666667;0.266666666666667;0.266666666666667;0.533333333333333;0.466666666666667;0.533333333333333;0.2;0.4;0.333333333333333;0.0666666666666667;134387.62988403
057yzhX2h2hb;FALSE;TRUE;889;42;2822;no;38796;25;0.0281214848143982;0.76;49.6136;0.16;0.48;0.32;0.6;0.48;0.44;0.4;0.44;0.44;0.04;156643.543844602
05hrotc2oP0R;TRUE;TRUE;123;41;3110;yes;1735442;15;0.121951219512195;1;63.6866666666667;0.8;0.2;0.8;1.33333333333333;0.133333333333333;0.0666666666666667;0.133333333333333;0.6;0.8;1;0
05nTaRYLI0rL;FALSE;TRUE;240;43;3083;yes;30968;13;0.0541666666666667;0.615384615384615;30.7138461538462;0.153846153846154;0.461538461538462;0.692307692307692;0.307692307692308;0.384615384615385;0.307692307692308;0.615384615384615;0.307692307692308;0.538461538461538;0.0769230769230769;151244.163596222
07EVC0FflJBG;TRUE;FALSE;987;42;3620;yes;1735442;144;0.145896656534954;0.902777777777778;50.990625;0.631944444444444;0.173611111111111;0.701388888888889;0.972222222222222;0.215277777777778;0.305555555555556;0.243055555555556;0.604166666666667;0.597222222222222;0.00694444444444444;13674.4474754983
08UWbQB6oPgW;FALSE;FALSE;667;32;4875;yes;26426;25;0.0374812593703148;0.68;40.3612;0.28;0.44;0.56;0.36;0.2;0.56;0.44;0.44;0.36;0.08;186432.691870478
08a52h3TlgoZ;FALSE;TRUE;469;47;3513;yes;761873;57;0.121535181236674;0.912280701754386;69.4671929824561;0.701754385964912;0.315789473684211;0.719298245614035;1.10526315789474;0.263157894736842;0.157894736842105;0.263157894736842;0.789473684210526;0.631578947368421;0.0175438596491228;21078.2904739431
08lIFjpqgxBQ;TRUE;TRUE;816;49;3746;no;60068;85;0.104166666666667;0.929411764705882;68.0174117647059;0.8;0.247058823529412;0.811764705882353;1.17647058823529;0.282352941176471;0.235294117647059;0.2;0.682352941176471;0.776470588235294;0.0117647058823529;31201.4037821554
09TRiWGam3sx;FALSE;FALSE;99;44;3778;yes;8703;6;0.0606060606060606;0.666666666666667;31.015;0;1.16666666666667;0;0.666666666666667;0.333333333333333;0.166666666666667;0.333333333333333;0.833333333333333;0.333333333333333;0.666666666666667;203345.186084531
